,id,id,id,id,id,id,id,id,sol,sol,sol,sol,sol,sol,sol,sol,ls,ls,ls,ls,ls,ls,ls,ls,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,min_temp,pressure,pressure,pressure,pressure,pressure,pressure,pressure,pressure
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,174.0,1013.8735632183908,521.4797377360995,319.0,364.25,984.5,1623.75,1668.0,174.0,1077.5747126436781,538.9057770912156,351.0,402.25,1053.5,1704.75,1748.0,174.0,15.281609195402298,8.585241116333293,0.0,8.25,16.0,23.0,29.0,174.0,-77.16091954022988,2.264955757423127,-82.0,-78.0,-77.0,-76.0,-62.0,174.0,862.4885057471264,13.11299867194712,820.0,854.0,862.0,873.0,888.0
2,178.0,1109.8820224719102,516.2318519674246,371.0,419.25,1052.5,1687.75,1732.0,178.0,1175.8539325842696,531.9592302155928,412.0,473.25,1121.5,1768.75,1814.0,178.0,44.258426966292134,8.96827816979347,30.0,36.25,43.0,53.0,59.0,178.0,-79.93258426966293,2.15132466252609,-86.0,-81.0,-80.0,-78.25,-76.0,178.0,889.4550561797753,10.956550152295373,867.0,882.0,890.0,899.75,908.0
3,192.0,1132.6979166666667,531.6294347681168,421.0,468.75,1113.5,1750.25,1798.0,192.0,1204.40625,539.2428292163527,477.0,532.75,1182.5,1832.25,1880.0,192.0,75.01041666666667,8.405302230416364,60.0,68.0,75.0,82.0,89.0,192.0,-83.30729166666667,2.8968928937821254,-90.0,-86.0,-84.0,-80.0,-77.0,192.0,877.3229166666666,17.924504150467865,833.0,864.75,878.0,893.25,907.0
4,194.0,1175.1649484536083,538.715083845766,487.0,535.25,1175.5,1814.75,1863.0,194.0,1244.5,548.9679082138633,544.0,592.25,1244.5,1896.75,1945.0,194.0,104.3659793814433,8.690121681481273,90.0,97.0,104.0,112.0,119.0,194.0,-82.74742268041237,3.230861313271887,-89.0,-85.0,-83.0,-79.25,-77.0,194.0,806.3298969072165,25.56723196297136,754.0,787.0,806.0,826.75,857.0
5,149.0,1115.03355704698,496.060390505509,552.0,589.0,1223.0,1260.0,1895.0,149.0,1182.6912751677853,505.7021864124001,609.0,646.0,1294.0,1331.0,1977.0,149.0,132.88590604026845,8.437793199183837,120.0,126.0,132.0,140.0,149.0,149.0,-79.30872483221476,2.3707090080391775,-85.0,-81.0,-79.0,-77.0,-74.0,149.0,748.5570469798657,12.678659741564662,727.0,738.0,747.0,757.0,777.0
6,147.0,735.3061224489796,458.21436647838794,2.0,192.5,644.0,1280.5,1317.0,147.0,750.8299319727892,525.4034115338092,10.0,50.5,701.0,1351.5,1388.0,147.0,164.89795918367346,8.365564358692035,150.0,158.0,165.0,172.0,179.0,147.0,-75.29931972789116,1.8558126602517329,-84.0,-76.0,-75.0,-74.0,-71.0,147.0,745.0544217687075,7.7324988543950965,732.0,739.0,743.0,751.0,764.0
7,142.0,714.5492957746479,462.3984891853769,3.0,227.25,686.5,1324.75,1360.0,142.0,715.1056338028169,543.466085349842,54.0,89.25,743.5,1404.75,1440.0,142.0,194.8943661971831,8.37313141765307,180.0,188.0,195.0,202.0,209.0,142.0,-72.28169014084507,2.3561183283242024,-78.0,-74.0,-72.0,-71.0,-65.0,142.0,795.1056338028169,20.622822772331414,751.0,777.25,793.0,811.0,836.0
8,141.0,718.0780141843971,554.182912956698,7.0,45.0,738.0,1372.0,1407.0,141.0,795.3333333333334,547.9430583902812,104.0,139.0,795.0,1452.0,1487.0,141.0,224.34751773049646,8.703846289020602,210.0,217.0,224.0,232.0,239.0,141.0,-68.38297872340425,2.7481411236067115,-75.0,-70.0,-68.0,-66.0,-63.0,141.0,873.8297872340426,23.286402361773426,828.0,857.0,877.0,893.0,914.0
